"Set","Cst.Sigma","VdWVolumes.WV","pki"
"CSAR",3.64005184173584,165.045244512647,4.8
"CSAR",3.9340877532959,157.253496175187,4.8
"CSAR",3.99504637718201,172.686754834168,4.8
"CSAR",3.8252158164978,158.629359466778,4.8
"CSAR",3.88348960876465,151.916519431308,4.8
"CSAR",3.73080539703369,141.334891930514,4.8
"CSAR",3.93362832069397,146.602465907735,4.8
"CSAR",3.849125623703,175.28919483243,4.8
"CSAR",3.5642101764679,163.675275206283,4.8
"CSAR",3.86529684066772,152.230785057579,4.8
"CSAR",3.85944938659668,168.648884617134,4.8
"CSAR",3.61618614196777,159.442525355941,4.8
"CSAR",3.82630038261414,156.267940468474,4.8
"CSAR",3.72154116630554,159.26517724856,4.8
"CSAR",3.57663059234619,154.251469558917,4.8
"CSAR",3.71557402610779,159.584426900762,4.8
"CSAR",3.65121245384216,142.340988298881,4.8
"CSAR",3.67892336845398,164.781669330269,4.8
"CSAR",3.6995153427124,151.858129628377,4.8
"CSAR",3.78837943077087,169.17856869981,4.8
"CSAR",3.62276911735535,154.673212767262,4.8
"CSAR",3.69288945198059,160.378279267831,4.8
"CSAR",3.62200689315796,149.471789370577,4.8
"CSAR",3.82651948928833,151.155881235178,4.8
"CSAR",4.24580383300781,160.268680304692,4.8
"CSAR",4.08290147781372,150.196631660124,4.8
"CSAR",3.98728704452515,148.331436909594,4.8
"CSAR",4.08030700683594,152.530395578509,4.8
"CSAR",4.06668281555176,149.199127250239,4.8
"CSAR",3.93199801445007,144.263011673205,4.8
"CSAR",3.97081089019775,140.468273301063,4.8
"CSAR",3.77095055580139,132.594791961673,4.8
"CSAR",4.02495145797729,131.419540446852,4.8
"CSAR",3.96253347396851,149.32343046566,4.8
"CSAR",3.85784387588501,166.7721222601,4.8
"CSAR",4.06622219085693,153.20844420641,4.8
"CSAR",4.04455232620239,152.947828627455,4.8
"CSAR",3.93818354606628,143.554880592208,4.8
"CSAR",3.95585870742798,143.741268930584,4.8
